customer_id,customer_name,city_id,first_order_date
1,Bà Dương Lê,34,2024-11-20
2,Cô Yến Trần,24,2022-07-27
3,Huy Đặng,48,2025-11-22
4,Quý cô Lan Dương,7,2026-02-12
5,Nhật Vũ,41,2023-01-28
6,Vân Dương,5,2025-10-26
7,Bác Trung Lê,4,2022-07-10
8,Mai Nguyễn,9,2022-12-16
9,Lâm Mai,17,2022-05-16
10,Quý cô Hải Nguyễn,26,2022-05-07
11,Thành Đức Hoàng,48,2023-07-20
12,Anh Nhiên Nguyễn,29,2024-05-31
13,Ông Nam Nguyễn,5,2022-10-31
14,Anh Trung Lê,9,2023-11-13
15,Khoa Đặng,38,2022-12-20
16,Khoa Hoàng Bùi,7,2022-05-16
17,Hương Nguyễn,30,2025-03-27
18,Quý cô Duyên Hoàng,8,2022-06-26
19,Cô Mai Bùi,50,2022-08-22
20,Bà Thảo Phạm,20,2024-01-12
21,Quý ông Huy Lê,8,2022-09-30
22,Yến Bùi,44,2024-01-20
23,Cô Kim Nguyễn,46,2025-10-07
24,Ông Bảo Dương,3,2024-04-28
25,Quý cô Khoa Hoàng,21,2024-11-16
26,Bảo Phú Dương,46,2025-09-12
27,Thảo Bùi,23,2024-12-18
28,Khoa Đặng,4,2023-01-11
29,Bảo Thị Đặng,17,2022-08-24
30,Minh Bùi,12,2023-08-12
31,Hà Lê,26,2022-12-01
32,Thảo Bùi,36,2025-09-13
33,Quý ông Khoa Hoàng,16,2025-07-27
34,Phúc Lê,7,2022-11-04
35,Quý cô Hạnh Đặng,9,2023-06-20
36,Hoàng Văn Mai,4,2025-12-28
37,Quý cô Thành Trần,15,2025-03-20
38,Phương Bùi,26,2023-12-25
39,Thành Trí Bùi,41,2025-12-22
40,Ông Trung Dương,6,2023-08-10
41,Huy Lê,17,2024-10-03
42,Lan Vũ,5,2022-04-23
43,Ông Quang Mai,5,2024-09-17
44,Bảo Trí Đặng,42,2022-06-08
45,Hưng Thế Vũ,9,2025-11-06
46,Tú Phú Lê,22,2024-12-10
47,Thành Xuân Trần,30,2025-04-25
48,Kim Dương,37,2025-05-19
49,Quang Lê,47,2024-02-13
50,Hà Nguyễn,2,2023-11-25
51,Chi Trần,28,2025-05-16
52,Hà Hoàng,14,2022-03-30
53,Nhiên Đặng,18,2022-10-13
54,Quý cô Hải Trần,10,2023-09-01
55,Thành Trần,40,2023-02-10
56,Tùng Nguyễn,42,2023-08-24
57,Bác Phúc Nguyễn,27,2025-10-12
58,Bảo Bùi,31,2024-11-27
59,Thành Mai Bảo Hoàng,18,2024-10-10
60,Châu Dương,27,2022-08-19
61,Ông Phúc Bùi,34,2025-07-10
62,Quý ông Trung Vũ,35,2025-03-29
63,Vi Nguyễn,25,2025-06-09
64,Thành Dương,23,2023-12-04
65,Khoa Tấn Nguyễn,32,2024-09-01
66,Chị Dương Vũ,37,2024-11-05
67,Cô Phương Đặng,25,2022-08-29
68,Nhật Trần,2,2023-06-29
69,Bà Thành Bùi,15,2024-11-14
70,Anh Nguyễn,50,2024-05-05
71,Nhật Hoàng,31,2024-09-12
72,Quý ông Trung Đặng,50,2024-06-19
73,Cô Hải Mai,15,2024-11-20
74,Huy Bùi,7,2024-12-10
75,Kim Thị Phạm,16,2024-01-22
76,Cô Nhật Dương,48,2025-05-31
77,Kim Đặng,15,2023-05-24
78,Phương Hoàng,25,2024-06-26
79,Bảo Bùi,12,2022-11-25
80,Thành Mai,38,2023-09-13
81,Châu Phú Vũ,48,2025-12-12
82,Yến Phạm,38,2025-02-27
83,Trung Lê,45,2025-03-24
84,Quý ông Huy Đặng,37,2022-07-10
85,Bảo Văn Nguyễn,37,2023-08-11
86,Quý cô Thành Dương,32,2023-03-14
87,Nhật Phạm,12,2023-02-12
88,Quý ông Tú Phạm,6,2024-04-21
89,Cô Hạnh Vũ,39,2022-12-03
90,Ông Nam Dương,34,2024-12-08
91,Nhật Đức Trần,22,2025-01-20
92,Duyên Lê,13,2022-09-24
93,Huy Thế Vũ,22,2025-07-16
94,Nhật Nguyễn,21,2024-01-26
95,Nhiên Hoàng,10,2024-03-27
96,Quý cô Dương Trần,10,2025-11-18
97,Quý ông Anh Hoàng,34,2025-01-11
98,Hà Hữu Vũ,5,2026-01-03
99,Minh Hoàng Dương,43,2024-11-11
100,Thành Xuân Bùi,7,2023-11-23
101,Chị Xuân Dương,21,2024-01-21
102,Bác Hoàng Lê,11,2025-10-30
103,An Mai,28,2024-06-22
104,An Quang Bùi,32,2025-05-06
105,Tú Bùi,12,2026-02-16
106,Hạnh Quang Lê,36,2024-09-01
107,An Đức Lê,40,2022-10-17
108,Kim Mai Bảo Hoàng,15,2024-09-21
109,Ông Châu Hoàng,12,2024-10-17
110,Trọng Mai Lê,47,2024-07-20
111,Châu Xuân Hoàng,9,2024-11-22
112,Ngọc Đặng,1,2023-01-14
113,Vi Trần,37,2025-08-21
114,Phương Nguyễn,50,2026-02-05
115,Bà Nhật Dương,3,2025-11-04
116,Quang Trí Mai,21,2025-03-21
117,Bác Nam Dương,40,2023-11-03
118,Dũng Đặng,37,2025-01-01
119,Quý cô Nhật Phạm,32,2024-08-22
120,Thành Trí Mai,48,2022-07-16
121,Phúc Văn Nguyễn,23,2023-06-14
122,Nhật Nguyễn,11,2026-02-23
123,Quý cô Phương Phạm,6,2025-06-17
124,Minh Hữu Hoàng,43,2023-12-26
125,Quý cô Chi Nguyễn,22,2024-04-26
126,Ông Hoàng Lê,17,2023-06-01
127,Bác Thành Dương,45,2023-06-10
128,Bà Hà Hoàng,17,2024-11-13
129,Bác Vũ Lê,47,2022-05-20
130,Thảo Phạm,25,2022-12-02
131,Chi Nguyễn,27,2023-10-23
132,Bảo Vũ,27,2022-12-06
133,An Phạm,25,2025-12-19
134,Cô Thảo Mai,25,2022-04-26
135,Nhật Quang Mai,31,2022-09-14
136,Phương Mai Nguyễn,37,2025-04-30
137,Trung Thế Nguyễn,44,2023-09-21
138,Anh Mai Vũ,29,2023-06-23
139,Xuân Lê,3,2024-08-06
140,Quý cô Phương Dương,21,2022-03-28
141,Ông Quang Bùi,7,2025-10-09
142,Quý cô Ngọc Phạm,11,2023-09-07
143,Cô Ánh Hoàng,11,2025-01-14
144,Cô Khoa Lê,36,2024-11-03
145,Ánh Đặng,6,2025-12-21
146,Yến Phạm,40,2023-07-17
147,An Dương,46,2023-06-12
148,Bảo Nguyễn,42,2023-09-17
149,Vân Nguyễn,28,2022-06-19
150,Cô Chi Bùi,7,2025-03-17
151,Chi Mai,13,2024-10-20
152,Khoa Phạm,36,2024-07-31
153,Bà Khoa Bùi,47,2022-05-18
154,Cô Lâm Mai,43,2024-04-09
155,Nhiên Tấn Hoàng,16,2026-02-16
156,Chi Phạm,26,2024-01-07
157,Chị Chi Đặng,32,2024-01-25
