customer_id,postal_address,time
1,"1 Đặng Làng, JaneQuận, 135695",2024-12-01
2,"92 John Khu, JanePhường, 179392",2024-11-20
3,"06 Đặng Đường, JaneQuận, 561976",2025-11-29
5,"947 Jane Hẻm, Thành phố JaneHuyện, 258971",2025-04-06
6,"985 Vũ Số, Thành phố JaneXã, 994794",2026-03-09
7,"3 Bùi Ngõ, JaneThành phố, 763529",2024-02-18
8,"61 Dương Dãy, Thành phố JaneThành phố, 454123",2025-07-06
10,"792 John Ngõ, JohnThành phố, 943530",2023-02-16
11,"092 Trần Ngõ, JohnThị xã, 276214",2025-05-24
14,"2 Hoàng Ngõ, JaneThị xã, 104792",2025-03-02
15,"34 John Ngõ, Thị xã JaneQuận, 267520",2025-02-18
19,"179 Nguyễn Số, Quận JaneQuận, 506145",2023-12-20
21,"92 John Ngõ, JaneQuận, 720317",2024-05-19
24,"6 John Tổ, JohnPhường, 195136",2024-05-08
29,"3 Jane Làng, Thị xã JohnPhường, 897846",2023-06-12
30,"88 Dương Tổ, Quận JaneThành phố, 184064",2024-08-15
32,"103 Bùi Tổ, JaneXã, 798199",2026-01-18
33,"437 Vũ Đường, Huyện JaneThị xã, 274444",2025-12-16
35,"Huyện JaneXã, 4 John Số, 623676",2025-07-26
37,"51 Nguyễn Làng, Huyện JohnThành phố, 187649",2025-09-29
40,"JaneQuận, 347 Trần Số, 192744",2023-08-16
41,"264 Nguyễn Khu, JaneXã, 875795",2025-06-04
42,"730 Jane Dãy, Huyện JaneXã, 557250",2025-09-08
45,"3 John Hẻm, JanePhường, 938732",2025-12-14
49,"401 John Hẻm, Huyện JohnQuận, 236543",2026-02-28
53,"3 Jane Hẻm, Thành phố JohnXã, 992649",2025-03-14
56,"647 Dương Làng, JaneThị xã, 297955",2025-11-01
58,"JohnXã, 367 Hoàng Khu, 893041",2025-12-05
63,"Thị xã JaneHuyện, 70 John Khu, 840356",2025-07-24
64,"8 Dương Hẻm, Thị xã JaneThị xã, 719755",2026-02-18
65,"559 Jane Số, Thị xã JaneHuyện, 531939",2025-03-16
67,"8 Vũ Đường, JohnHuyện, 496086",2024-09-05
72,"4 Mai Tổ, Thị xã JaneHuyện, 755322",2025-05-11
73,"748 Hoàng Đường, Huyện JaneQuận, 352050",2025-01-31
74,"93 Phạm Ngõ, Quận JohnQuận, 935762",2025-12-25
78,"13 Jane Tổ, JohnThị xã, 328598",2024-09-24
82,"51 Jane Số, Thị xã JaneHuyện, 194634",2026-02-18
85,"7 John Số, Huyện JaneXã, 186226",2023-11-23
86,"165 Jane Số, Thành phố JohnXã, 778540",2025-01-13
87,"696 Lê Ngõ, JohnXã, 223050",2023-02-27
88,"47 Lê Số, Quận JanePhường, 810083",2024-08-30
91,"537 Hoàng Đường, Huyện JaneHuyện, 513869",2025-10-28
92,"158 Lê Khu, Huyện JohnQuận, 623460",2025-10-03
93,"870 John Đường, Quận JohnThị xã, 372864",2025-08-24
94,"71 John Tổ, Quận JaneQuận, 975512",2024-06-05
96,"16 Hoàng Ngõ, JohnThành phố, 185000",2026-01-10
97,"975 John Đường, JaneThành phố, 879930",2025-02-10
98,"42 Jane Dãy, JanePhường, 732829",2026-01-12
103,"17 Đặng Khu, Thành phố JohnPhường, 793715",2025-04-10
104,"97 Hoàng Khu, JohnQuận, 294078",2025-05-30
105,"10 Jane Dãy, JaneHuyện, 748543",2026-03-09
106,"030 Jane Hẻm, Thị xã JohnThành phố, 415535",2025-11-06
107,"70 Hoàng Làng, Huyện JaneThành phố, 450067",2022-10-26
108,"767 Phạm Đường, Thị xã JaneXã, 166595",2025-02-12
109,"60 Jane Làng, JaneThị xã, 343377",2025-07-04
111,"7 John Làng, Thị xã JohnThị xã, 617708",2025-04-16
113,"55 Jane Hẻm, Thành phố JaneThị xã, 982478",2026-01-23
115,"60 Jane Tổ, JohnThành phố, 378937",2025-12-22
117,"26 Jane Đường, Thành phố JaneThị xã, 521530",2025-12-06
122,"49 Jane Tổ, Quận JaneHuyện, 398357",2026-03-08
123,"71 Jane Số, Thành phố JohnThị xã, 236381",2025-10-24
124,"6 John Hẻm, JaneQuận, 838747",2025-02-13
125,"961 Jane Khu, Quận JohnHuyện, 419736",2026-03-08
126,"443 Jane Đường, Huyện JohnThành phố, 537859",2024-10-02
129,"1 John Đường, Thị xã JohnThành phố, 790229",2025-12-15
131,"08 Bùi Khu, Thành phố JohnXã, 276324",2024-06-28
132,"0 Bùi Ngõ, JohnThị xã, 439966",2023-10-10
133,"88 Trần Khu, Huyện JaneXã, 526850",2025-12-24
136,"4 John Đường, JaneXã, 363076",2026-01-22
137,"16 John Khu, JohnXã, 629342",2026-02-04
143,"Huyện JanePhường, 361 Hoàng Dãy, 278758",2025-09-05
144,"93 Phạm Đường, JaneThành phố, 547861",2025-09-17
145,"0 John Khu, JaneHuyện, 105409",2026-01-22
147,"583 Jane Ngõ, JohnThành phố, 163634",2025-12-21
152,"8 Đặng Số, JaneQuận, 354963",2024-10-20
153,"98 John Dãy, JaneHuyện, 486746",2026-02-01
154,"53 John Ngõ, JohnPhường, 598833",2025-08-11
157,"620 Nguyễn Ngõ, JohnXã, 220784",2024-05-15
161,"386 Đặng Số, Thành phố JohnXã, 408472",2026-01-15
165,"634 Bùi Hẻm, JaneXã, 188876",2025-06-23
167,"60 Jane Làng, JohnHuyện, 186422",2024-07-31
169,"928 Nguyễn Khu, JaneThị xã, 525468",2025-11-16
173,"68 Đặng Đường, Quận JohnHuyện, 695791",2024-11-28
174,"4 John Ngõ, Thành phố JaneThành phố, 295760",2024-12-04
176,"21 Jane Dãy, Thị xã JohnQuận, 315667",2024-06-15
178,"7 Dương Đường, Huyện JaneHuyện, 834335",2026-01-01
179,"9 Jane Đường, Quận JanePhường, 663858",2025-08-11
181,"56 Jane Đường, Huyện JohnPhường, 243110",2024-11-12
182,"7 Jane Khu, Quận JohnXã, 205397",2025-05-16
183,"52 John Làng, JohnPhường, 950931",2024-07-12
184,"633 Phạm Làng, Thành phố JaneThành phố, 115267",2025-04-21
185,"2 Jane Ngõ, JaneXã, 757233",2023-07-31
188,"19 Bùi Hẻm, JohnPhường, 898717",2025-11-28
189,"83 John Đường, Huyện JohnPhường, 549312",2025-07-15
191,"0 Vũ Đường, Huyện JaneQuận, 315815",2025-07-17
192,"232 John Làng, Thành phố JanePhường, 589762",2025-12-10
195,"498 John Khu, JaneHuyện, 575637",2024-07-18
198,"5 Đặng Đường, JanePhường, 358779",2025-02-10
201,"952 Phạm Số, JohnQuận, 956046",2025-12-12
202,"522 Jane Hẻm, Thị xã JohnQuận, 310701",2022-10-19
203,"2 Jane Ngõ, JohnHuyện, 167384",2024-01-18
204,"9 John Làng, Thị xã JaneThị xã, 596219",2025-10-18
207,"6 John Tổ, Huyện JohnPhường, 441337",2026-01-12
208,"2 John Dãy, Huyện JaneQuận, 567965",2026-01-23
209,"602 Bùi Khu, Huyện JanePhường, 229077",2025-07-04
210,"8 Phạm Làng, JohnHuyện, 191939",2025-12-04
211,"65 Lê Làng, Thị xã JohnXã, 993766",2024-10-11
213,"97 Jane Khu, JohnHuyện, 260119",2025-12-20
215,"844 Jane Ngõ, Huyện JohnPhường, 418844",2025-03-21
216,"330 Hoàng Ngõ, Thị xã JanePhường, 982544",2023-06-02
217,"6 Jane Làng, Thành phố JohnThị xã, 612361",2023-07-27
218,"783 Jane Khu, Quận JaneThị xã, 775908",2025-09-20
219,"06 Trần Ngõ, Thành phố JohnXã, 828986",2023-11-24
220,"840 John Khu, JohnThị xã, 790130",2024-06-02
221,"JohnPhường, 0 John Làng, 248548",2024-03-29
224,"66 John Ngõ, JohnXã, 215333",2026-02-15
227,"562 Mai Số, JohnHuyện, 109958",2025-05-20
229,"84 Bùi Làng, JohnHuyện, 526261",2025-07-06
231,"09 John Số, JohnPhường, 793291",2026-02-24
232,"Quận JohnHuyện, 5 Jane Dãy, 497509",2025-08-12
233,"30 Phạm Khu, Thị xã JaneThành phố, 473024",2026-01-29
234,"31 Jane Ngõ, JohnQuận, 906824",2025-06-17
235,"4 Jane Dãy, Quận JanePhường, 555040",2023-02-14
237,"678 Lê Tổ, JaneQuận, 215063",2026-02-01
238,"0 Dương Khu, JaneThành phố, 897861",2025-09-22
240,"32 Nguyễn Làng, Thành phố JaneThị xã, 650472",2025-05-21
241,"45 Phạm Tổ, Quận JohnThành phố, 154662",2025-09-13
243,"5 Phạm Khu, Thị xã JohnThành phố, 236823",2025-06-12
245,"71 Trần Dãy, JohnQuận, 728258",2024-11-18
247,"6 Hoàng Khu, Quận JohnQuận, 699678",2024-04-24
249,"403 John Đường, JaneHuyện, 187289",2026-01-13
250,"00 Phạm Khu, Huyện JohnXã, 789247",2026-03-11
252,"736 Lê Dãy, Thị xã JohnThị xã, 294015",2025-10-15
255,"314 John Đường, Huyện JohnQuận, 245993",2025-03-20
256,"018 Trần Số, Thành phố JohnThành phố, 337686",2025-03-13
257,"21 John Khu, JohnXã, 449935",2023-03-12
259,"475 Trần Đường, Quận JaneQuận, 509573",2024-05-21
260,"Thị xã JaneHuyện, 76 Lê Làng, 501798",2025-09-23
261,"9 John Làng, JohnQuận, 991913",2024-03-22
262,"330 John Hẻm, JohnPhường, 545339",2025-02-02
265,"2 John Số, JaneXã, 845964",2025-12-29
266,"862 Jane Đường, Thị xã JohnPhường, 686462",2026-01-27
267,"563 Trần Ngõ, Huyện JaneThành phố, 351165",2023-07-20
268,"419 Jane Đường, Huyện JohnHuyện, 108890",2026-03-01
269,"156 John Đường, JaneXã, 993415",2025-03-30
270,"2 Dương Hẻm, JaneHuyện, 753756",2025-09-19
271,"7 John Hẻm, JohnThị xã, 198685",2024-12-16
274,"687 Nguyễn Đường, Thành phố JohnThành phố, 404779",2024-08-11
275,"77 Trần Ngõ, Thành phố JaneThị xã, 309160",2025-03-03
276,"470 Jane Hẻm, Huyện JohnXã, 911813",2023-11-18
277,"6 Vũ Hẻm, Quận JohnHuyện, 524745",2025-12-19
279,"78 Jane Tổ, JohnXã, 921110",2026-02-27
281,"336 Jane Làng, JohnQuận, 812641",2025-05-09
283,"276 Lê Hẻm, JaneHuyện, 986142",2025-06-17
284,"798 Jane Đường, JaneQuận, 333705",2025-11-30
285,"66 Jane Làng, JanePhường, 377347",2024-12-15
286,"002 Mai Tổ, JohnXã, 550908",2025-11-26
288,"2 Phạm Ngõ, Thành phố JaneThành phố, 759443",2025-07-28
289,"334 John Số, JohnHuyện, 186993",2025-12-24
291,"17 Jane Ngõ, JohnQuận, 820724",2025-12-15
292,"557 John Khu, Quận JohnXã, 124157",2025-12-26
293,"124 Dương Làng, Huyện JaneThị xã, 881393",2026-01-07
294,"19 Lê Làng, JaneThị xã, 544320",2025-04-16
295,"5 Trần Dãy, Thành phố JaneXã, 529715",2024-02-21
297,"95 John Số, JohnXã, 328026",2022-11-15
298,"461 Jane Hẻm, JaneQuận, 704413",2023-05-17
301,"857 Jane Khu, JanePhường, 227310",2025-10-31
302,"156 John Ngõ, Huyện JohnPhường, 155040",2026-01-05
303,"22 Trần Hẻm, JohnXã, 991450",2026-03-04
304,"7 Đặng Dãy, Thành phố JaneHuyện, 845937",2024-01-18
306,"72 John Làng, JaneThị xã, 750618",2025-07-23
307,"1 Jane Ngõ, Quận JohnThị xã, 296114",2025-07-21
310,"9 Mai Số, Thành phố JohnThành phố, 330246",2024-01-06
311,"966 Trần Làng, JaneQuận, 279337",2026-02-10
313,"257 John Dãy, JaneThành phố, 286138",2026-03-03
315,"114 Dương Dãy, JanePhường, 610125",2023-05-08
318,"2 Đặng Tổ, JaneHuyện, 424348",2026-02-10
321,"491 Jane Khu, Thị xã JanePhường, 974627",2023-06-01
322,"075 Jane Số, JohnHuyện, 416693",2024-12-29
323,"26 Jane Khu, Huyện JaneXã, 292279",2024-02-20
324,"5 Đặng Số, JaneThị xã, 583691",2025-09-19
325,"8 Lê Khu, Thị xã JohnThị xã, 802629",2024-06-11
326,"91 Hoàng Dãy, JohnThành phố, 876442",2025-11-17
327,"324 Nguyễn Dãy, Thành phố JohnThành phố, 260455",2025-06-04
328,"7 Nguyễn Ngõ, JaneThị xã, 292984",2025-07-27
329,"20 John Làng, Quận JaneThị xã, 404124",2025-10-01
330,"66 John Khu, JohnXã, 508346",2022-08-22
331,"86 John Hẻm, JaneThị xã, 849923",2025-10-21
334,"266 John Khu, Thành phố JohnThị xã, 900432",2025-10-30
335,"29 John Khu, JanePhường, 399986",2025-01-21
339,"30 Nguyễn Làng, JaneThị xã, 837435",2025-10-27
341,"0 Jane Số, JohnHuyện, 901883",2025-01-23
344,"5 Dương Khu, Thành phố JohnThành phố, 911192",2025-06-10
345,"26 Mai Hẻm, Thị xã JohnXã, 485570",2024-02-12
346,"689 John Làng, Thành phố JohnQuận, 559859",2024-01-18
347,"53 Vũ Tổ, JohnXã, 380531",2023-08-05
348,"83 Jane Hẻm, Quận JanePhường, 901313",2025-03-14
352,"01 Vũ Dãy, JaneQuận, 499812",2026-01-03
354,"44 John Khu, JaneQuận, 565367",2025-09-16
356,"72 John Hẻm, Quận JohnPhường, 140372",2023-11-02
359,"6 Jane Khu, Thành phố JaneXã, 926450",2023-12-06
360,"935 Phạm Số, Quận JanePhường, 182255",2026-03-13
363,"3 Bùi Tổ, Huyện JohnHuyện, 785066",2025-09-20
365,"82 Phạm Hẻm, JohnQuận, 226656",2025-04-13
367,"4 Jane Tổ, Thành phố JohnPhường, 472200",2026-03-05
